age1;age2;ifr
0;4;0.00003
5;9;0.00001
10;14;0.00001
15;19;0.00003
20;24;0.00006
25;29;0.00013
30;34;0.00024
35;39;0.00040
40;44;0.00075
45;49;0.00121
50;54;0.00207
55;59;0.00323
60;64;0.00456
65;69;0.01075
70;74;0.01674
75;79;0.03203
80;;0.08292
